四字熟語	読み	意味	級	ページ	類義語	対義語	別の読み	参考	補説	優先
修己治人	しゅうこちじん	自分に徳を積んで世を治めること。	5	246						
自由自在	じゆうじざい	何事も思いのままにすること。また、思う存分に振る舞うさま。	5	246	縦横自在、縦横無尽、自由無礙、七縦八横					-
十全十美	じゅうぜんじゅうび	すべてが完全で整っていること。	5	247	尽善尽美、完全無欠					
十人十色	じゅうにんといろ	人の好みや考え方、性格などはそれぞれ違うということ。	5	248	各人各様、十人十腹、多種多様					-
十年一日	じゅうねんいちじつ	長年経っても変わらないこと。	5	248	旧態依然					
十年一昔	じゅうねんひとむかし	世の中の移りかわりが激しいことのたとえ。	5	248						
十風五雨	じゅうふうごう	-	5	248	-	-	-	五風十雨		
十万億土	じゅうまんおくど	極楽浄土のこと。	5	249	極楽浄土、寂光浄土					
樹下石上	じゅかせきじょう	出家行脚の境遇のこと	5	250			じゅげせきじょう		あ	
縮衣節食	しゅくいせっしょく	節約・倹約すること。	5	250	悪衣悪食	煖衣飽食			あ	
縮地補天	しゅくちほてん	政治上の改革を行うこと。	5	250						
種種雑多	しゅじゅざった	いろいろなものが入り混じっていること。	5	251	多種多様、種種様様、千差万別					
酒池肉林	しゅちにくりん	ぜいたくの限りを尽くした豪者な宴会。	5	252	肉山脯林					-
出処進退	しゅっしょしんたい	現在の職にとどまるか辞めてしまうかという身のふり方。	5	252					あ	-
純一無雑	じゅんいつむざつ	まったく混じりけがないこと。また、性質がすなおで偽りや邪念がない人物のこと。	5	253						
春秋筆法	しゅんじゅうのひっぽう	言葉づかいや文章の細やかな筆づかいの中に賞賛や批判の意味を暗に含ませること。また、公正な態度で厳しく批判すること。	5	254	春秋筆削、一字褒貶					
春和景明	しゅんわけいめい	穏やかでひざしが明るい春の陽気のこと。	5	255						
上意下達	じょういかたつ	上の者の意志や命令を、下の者によく徹底させること。	5	255	上命下達	下意上達				-
情意投合	じょういとうごう	お互いの気持ちがよく通じ合うこと。	5	255	意気投合					-
上行下効	じょうこうかこう	上の者がすると、下の者がそれを見習うこと。	5	256	上行下従					
生死事大	しょうじじだい	人の世は、無常でうつろいやすいこと。	5	257	生死無常、無常迅速					
常住不断	じょうじゅうふだん	ずっと続いていて絶えないこと。	5	257						
生生世世	しょうじょうせぜ	未来永劫(えいごう)、いつまでも。	5	258					あ	-
将門有将	しょうもんゆうしょう	立派な家柄からは必ずすぐれた人材が出るということ。	5	262	相門有相					
小利大損	しょうりだいそん	わずかの利益を得ようとして、かえって大損をしてしまうこと。	5	262	小利大害					
生老病死	しょうろうびょうし	人として免かれえない四つの苦悩のこと。	5	263	四苦八苦					
諸行無常	しょぎょうむじょう	人生ははかないものであるという仏教の根本思想。	5	263	有為転変、万物流転					-
諸子百家	しょしひゃっか	中国の春秋戦国時代に活躍した多くの学者や学派、またその著善の総称。	5	264	百家九流、九流百家					
初転法輪	しょてんぼうりん	釈尊が悟りを開いたのち、はじめて行った鹿野苑の説法のこと。	5	264						
白河夜船	しらかわよふね	知ったかぶりをいう。また、何も知らないほど、ぐっすり寝こんでしまうこと。	5	265					あ	-
私利私欲	しりしよく	自分の利益だけを考えて行動しようとする欲望。	5	265					あ	-
至理名言	しりめいげん	きわめて道理にかなったすぐれた言葉のこと。	5	265						
事理明白	じりめいはく	物事の道理・筋道がきわめてはっきりしている。	5	265						
四六時中	しろくじちゅう	一日じゅう。いつも。	5	266					あ	-
人海戦術	じんかいせんじゅつ	多数の人員を投じて仕事を完成させること。	5	267	人海作戦					
人間青山	じんかんせいざん	世の中は広いので、志を貫くには故郷を離れてどこに死に場所を求めようともかまわないということ。	5	267			にんげんせいざん		あ	
心機一転	しんきいってん	なにかをきっかけとして、気持ちがすっかり変わること。	5	267	改過自新					-
身言書判	しんげんしょはん	人物を登用するときの基準とするもの。	5	268						
真実一路	しんじついちろ	嘘いつわりのないまことひとすじ。	5	269						
人事天命	じんじてんめい	人間として最善の努力を尽くして、結果は静かに運命にまかせること。	5	269						
人事不省	じんじふせい	病気や怪我などで意識を失うこと。	5	269	前後不覚					
仁者無敵	じんしゃむてき	仁徳者には天下に敵対する者のないことを言う。	5	270						
仁者楽山	じんしゃらくざん	仁徳者は安らかにゆったりとして心が動くことがないから、どっしりと安定して動かない山を愛する。	5	270	智者楽水					
針小棒大	しんしょうぼうだい	物事を実際より大げさにいう。	5	271	大言壮語					-
人心一新	じんしんいっしん	人々の気持ちをすっかり新しくすること。	5	271						
真人大観	しんじんたいかん	-	5	272	-	-	-	達人大観		
人生行路	じんせいこうろ	人として生きてゆく道。	5	272						
深層心理	しんそうしんり	日常的な生活の中では意識されていない奥深くかくれている心理のこと。	5	273						-
進退両難	しんたいりょうなん	にっちもさっちもゆかないこと。	5	273						
心地光明	しんちこうめい	心が清らかで正しく広いこと。	5	273	公平無私、公明正大、大公無私				あ	
心満意足	しんまんいそく	きわめて満ち足りた気分になること。	5	274	欲求不満					
水月鏡花	すいげつきょうか	-	5	277	-	-	-	鏡花水月		
水清無魚	すいせいむぎょ	人になつかれないたとえ。	5	278	清濁併呑					
頭寒足熱	ずかんそくねつ	頭を冷やし足をあたためること。また、その状態。健康によいとされる。	5	280	頭寒足暖					-
寸鉄殺人	すんてつさつじん	短い警句で人の急所を批判するたとえ。	5	280	頂門一針					
寸田尺宅	すんでんしゃくたく	ほんのわずかな財産のこと	5	280	寸土尺地					
寸馬豆人	すんばとうじん	遠くの人馬が小さく見えること。	5	281						
晴雲秋月	せいうんしゅうげつ	純真でけがれのない心のたとえ。	5	281	虚心坦懐、光風霽月、明鏡止水					
生寄死帰	せいきしき	人が生きているのは、仮にこの世に身を寄せているだけで、死は自分の住居に帰るように、本来のところに落ちつくことだということ。,	5	282						
精金良玉	せいきんりょうぎょく	性格が穏やかで純粋なこと。	5	282					A	
晴耕雨読	せいこううどく	田園で悠々自適の生活をすること。	5	282	昼耕夜誦					-
生死肉骨	せいしにくこつ	落ち目の者を救いあげること。	5	283						
青松落色	せいしょうらくしょく	交友が途絶えそうになることのだとえ。	5	284						
聖人君子	せいじんくんし	知識・人格ともにすぐれた立派な人物。	5	284	聖人賢者					-
誠心誠意	せいしんせいい	純粋なまごころ。	5	284						-
精神統一	せいしんとういつ	心のはたらきを一点に集中すること。	5	284	精神一到					-
聖人無夢	せいじんむむ	徳を身につけた聖人は、けっして憂いや雑念を持たないので、夢を見ることはない。	5	284						
